"CODE","APPLICATION_CODE","DESCRIPTION","PERMISSION_SUM","OPTIMISTICLOCKVERSION","EXTERNAL"
"ADJUSTMENT","MP","Adjustment","15","0","0"
"DEPOSIT_CASH_OUT","MP","Deposit & Cash-out","15","0","0"
"ENQUIRY","MP","Enquiry","15","0","1"
"MONEY_POOL_DETAIL_TRANSACTION","MP","Money Pool Detail Page - Transaction record listing","15","0","1"
"MONEY_POOL_LISTING","MP","Money Pool Listing","15","0","1"
"PREPRODUCTION","MP","preproduction","15","0","1"
"PRODUCTION","MP","production","15","0","1"
"USER_ACCOUNT","ANA","Account management","335","0","1"
"USER_ROLE","ANA","ROLE management","15","0","1"
