"CODE","APPLICATION_CODE","DESCRIPTION","PERMISSION_SUM","OPTIMISTICLOCKVERSION"
"SMS_REPORT_SENT","SMS","SMS_REPORT_SENT","15","0"
"SMS_REPORT_SENDER","SMS","SMS_REPORT_SENDER","15","0"
"SMS_LANGUAGE","SMS","SMS_LANGUAGE","15","0"
"SMS_QA","SMS","SMS_QA","15","0"
"SMS_TYPE","SMS","SMS_TYPE","15","0"
"SMS_TOTAL_DAILY","SMS","SMS_REPORT_TOTAL_DAILY","15","0"
"SMS_TOTAL_MONTH","SMS","SMS_TOTAL_MONTH","15","0"
"SMS_PROVIDER","SMS","SMS_PROVIDER","15","0"
"SMS_SEND","SMS","SMS_SEND","15","0"
"SMS_HISTORY","SMS","SMS_HISTORY","6159","0"
"USER_ACCOUNT","ANA","Account management","1999","1"
"USER_ROLE","ANA","ROLE management","15","0"
